Time	Speed
10/10/2014 5:09:23	49
10/10/2014 5:09:33	40
10/10/2014 5:09:43	31
10/10/2014 5:09:53	29
10/10/2014 5:10:03	26
10/10/2014 5:10:06	26
10/10/2014 5:10:09	26
10/10/2014 5:10:13	2
10/10/2014 5:10:23	1
10/10/2014 5:10:33	1
10/10/2014 5:10:43	0
10/10/2014 5:11:56	3
10/10/2014 5:12:03	13
10/10/2014 5:12:13	9
10/10/2014 5:12:26	1
10/10/2014 5:12:34	0
10/10/2014 5:12:44	2
10/10/2014 5:12:54	2
10/10/2014 5:13:04	2
10/10/2014 5:13:14	1
10/10/2014 5:13:24	2
10/10/2014 5:13:34	0
10/10/2014 5:13:54	4
10/10/2014 5:14:04	6
10/10/2014 5:14:14	9
10/10/2014 5:14:27	0
10/10/2014 5:15:16	13
10/10/2014 5:15:24	1
10/10/2014 5:15:34	1
10/10/2014 5:15:44	0
10/10/2014 5:17:24	0
10/10/2014 5:17:34	2
10/10/2014 5:17:44	2
10/10/2014 5:17:54	8
10/10/2014 5:18:04	-2
10/10/2014 5:18:14	-6
10/10/2014 5:18:24	0
10/10/2014 5:18:35	-2
10/10/2014 5:18:48	-4
10/10/2014 5:18:54	0
10/10/2014 5:21:45	0
10/10/2014 5:21:55	10
10/10/2014 5:22:05	16
10/10/2014 5:22:15	17
10/10/2014 5:22:25	15
10/10/2014 5:22:28	15
10/10/2014 5:22:35	20
10/10/2014 5:22:45	20
10/10/2014 5:22:55	25
10/10/2014 5:23:05	25
10/10/2014 5:23:15	26
10/10/2014 5:23:25	27
10/10/2014 5:23:35	29
10/10/2014 5:23:45	35
10/10/2014 5:23:55	40
10/10/2014 5:24:05	39
10/10/2014 5:24:15	29
10/10/2014 5:24:25	20
10/10/2014 5:24:35	22
10/10/2014 5:24:45	28
10/10/2014 5:24:55	32
10/10/2014 5:25:05	39
10/10/2014 5:25:15	33
10/10/2014 5:25:34	26
10/10/2014 5:25:35	14
10/10/2014 5:25:45	13
10/10/2014 5:25:55	1
10/10/2014 5:25:58	1
10/10/2014 5:26:05	-6
10/10/2014 5:26:15	8
10/10/2014 5:26:31	1
10/10/2014 5:26:34	1
10/10/2014 5:26:40	1
10/10/2014 5:26:43	6
10/10/2014 5:26:45	2
10/10/2014 5:26:55	8
10/10/2014 5:27:05	8
10/10/2014 5:27:15	31
10/10/2014 5:27:26	31
10/10/2014 5:27:35	31
10/10/2014 5:27:55	37
10/10/2014 5:28:05	31
10/10/2014 5:28:15	16
10/10/2014 5:28:26	21
10/10/2014 5:28:35	20
10/10/2014 5:28:45	22
10/10/2014 5:28:55	26
10/10/2014 5:29:05	30
10/10/2014 5:29:16	32
10/10/2014 5:29:25	32
10/10/2014 5:29:45	32
10/10/2014 5:29:56	25
10/10/2014 5:30:05	23
10/10/2014 5:30:15	24
10/10/2014 5:30:25	18
10/10/2014 5:30:31	18
10/10/2014 5:30:35	9
10/10/2014 5:30:45	0
10/10/2014 5:30:55	2
10/10/2014 5:31:05	2
10/10/2014 5:31:15	0
10/10/2014 5:33:16	2
10/10/2014 5:33:26	4
10/10/2014 5:33:46	5
10/10/2014 5:33:56	9
10/10/2014 5:34:06	0
10/10/2014 5:34:16	5
10/10/2014 5:34:26	2
10/10/2014 5:38:06	17
10/10/2014 5:38:16	-3
10/10/2014 5:38:32	-6
